posicion;equipo;puntos;jugados;ganados;empatados;perdidos;goles_favor;goles_contra;dif
1;Arsenal;56;25;17;5;3;49;17;32
2;Manchester City;50;25;15;5;5;51;24;27
3;Aston Villa;47;25;14;5;6;36;27;9
4;Manchester United;44;25;12;8;5;46;36;10
5;Chelsea;43;25;12;7;6;45;28;17
6;Liverpool;39;25;11;6;8;40;35;5
7;Brentford;39;25;12;3;10;39;34;5
8;Everton;37;25;10;7;8;28;28;0
9;Sunderland;36;25;9;9;7;27;29;-2
10;Fulham;34;25;10;4;11;35;37;-2
11;AFC Bournemouth;34;25;8;10;7;41;44;-3
12;Newcastle United;33;25;9;6;10;35;36;-1
13;Crystal Palace;32;25;8;8;9;26;29;-3
14;Brighton & Hove Albion;31;25;7;10;8;34;33;1
15;Tottenham Hotspur;29;25;7;8;10;35;35;0
16;Leeds United;29;25;7;8;10;34;43;-9
17;Nottingham Forest;26;25;7;5;13;25;38;-13
18;West Ham United;23;25;6;5;14;31;48;-17
19;Burnley;15;25;3;6;16;25;49;-24
20;Wolverhampton Wanderers;8;25;1;5;19;16;48;-32
