jugador;goles;asistencias;tiros;tiros_a_puerta;pases_completados;pases_clave;regates;toques_area_rival;entradas;intercepciones;despejes
N. Madueke;1;0;2;1;17;0;0;9;0;0;5
P. Hincapié;0;1;0;0;42;1;1;4;4;0;3
L. Trossard;0;0;2;2;39;1;1;7;1;0;2
Gabriel Magalhães;0;0;1;1;55;0;0;3;9;2;4
M. Ødegaard;0;0;1;0;16;0;0;5;0;0;1
Gabriel Martinelli;0;0;1;1;2;0;0;1;1;0;0
D. Rice;0;0;0;0;68;3;1;3;3;0;2
David Raya;0;0;0;0;31;0;0;0;2;0;0
J. Timber;0;0;0;0;37;1;0;2;1;1;1
Cristhian Mosquera;0;0;0;0;44;0;0;0;8;0;3
Martín Zubimendi;0;0;0;0;35;0;0;1;4;0;1
E. Eze;0;0;0;0;9;0;0;1;1;1;0
V. Gyökeres;0;0;0;0;8;1;0;4;1;0;0
B. Saka;0;0;0;0;2;0;0;1;1;0;0
R. Calafiori;0;0;0;0;10;0;0;0;1;0;0
