indicador;valor;descripcion
Precisión de pase (%);84,0;Fiabilidad en la circulación del balón.
Pases totales (temporada);16887,0;Volumen de juego asociativo del equipo.
% pases hacia adelante;31,2;Verticalidad: cuánto progresa el balón.
% pases en campo rival;45,6;Dominio de territorio.
Conducciones progresivas;2379,0;Progresión con balón controlado.
Recuperaciones;1633,0;Capacidad de robar el balón.
Grandes ocasiones creadas;77,0;Generación de ocasiones claras.
Toques en área rival;1177,0;Presencia ofensiva en zona de gol.
Regates exitosos;259,0;Juego individual para romper líneas.
